,file_name,hyperparameter,profit,elapsed_time,peak_memory,avg_memory
365,set_4306550no_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.29416771578790546, 'max_depth': 9, 'subsample': 0.35438746386210324, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",63923.08240000001,1147.478659,20962.58203125,18919.22967918883
366,set_4306550no_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.29416771578790546, 'max_depth': 9, 'subsample': 0.35438746386210324, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",63925.5505,1145.368809,16872.18359375,14834.337724401596
367,set_4306550no_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.6298961659959178, 'max_depth': 2, 'subsample': 0.5288831791761064, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",5578.98,309.848935,4948.9375,4928.184309895833
368,set_4306550no_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.23634231050641114, 'max_depth': 8, 'subsample': 0.751657873739168, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",5124.42,283.675127,6210.421875,6210.421875
369,set_4306550no_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.23634231050641114, 'max_depth': 8, 'subsample': 0.751657873739168, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",5150.010000000001,283.675344,6210.28515625,6210.28515625
370,set_4306550_ANN_complex_IOA_meta.pkl,"[1, 27, 0.02475020196954997, 11, 10, 64, 'tanh']",66061.79190000001,743.636916,2653.28515625,2158.275921103395
371,set_4306550_ANN_complex_SOAnp_meta.pkl,"[7, 12, 0.008645741754201516, 17, 10, 16, 'sigmoid']",64400.0607,1120.980934,12852.58203125,10809.952672697369
372,set_4306550_ANN_complex_SOAp_meta.pkl,"[7, 12, 0.008645741754201516, 17, 10, 16, 'sigmoid']",64424.3617,1139.19279,8724.8046875,6571.725181502526
373,set_4306550_ANN_simple_IOA_meta.pkl,"[12, 20, 0.0024137253705635202, 44, 10, 16, 'relu']",5588.490000000001,1238.234769,3940.5,3109.315791697394
374,set_4306550_ANN_simple_SOAnp_meta.pkl,"[14, 4, 0.0650659000868844, 23, 10, 16, 'sigmoid']",5675.090000000001,1346.575441,6174.828125,5386.53515625
375,set_4306550_ANN_simple_SOAp_meta.pkl,"[14, 4, 0.0650659000868844, 23, 10, 16, 'sigmoid']",5629.029999999999,1346.575597,6174.828125,5386.53125
376,set_4306550_XGB_complex_IOA_meta.pkl,"{'learning_rate': 0.4974169634229765, 'max_depth': 5, 'subsample': 0.5428685976575474, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree'}",64573.8478,1158.737817,13301.22265625,13214.54423828125
377,set_4306550_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.4783306347659708, 'max_depth': 9, 'subsample': 0.8055660982375005, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",64334.291900000004,1217.147015,21408.19921875,19386.93192545573
378,set_4306550_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.4783306347659708, 'max_depth': 9, 'subsample': 0.8055660982375005, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",64319.75800000001,1214.937652,17340.37109375,15317.104654947916
379,set_4306550_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.12217470382567494, 'max_depth': 2, 'subsample': 0.47487067095840957, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",5737.860000000001,388.163178,5669.90625,5605.367484177215
380,set_4306550_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.44337152069580454, 'max_depth': 6, 'subsample': 0.5267654188727929, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",5269.66,372.454879,6950.1484375,6948.515625
381,set_4306550_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.44337152069580454, 'max_depth': 6, 'subsample': 0.5267654188727929, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",5332.2,372.45472,6950.1484375,6948.515625
382,set_431650_ANN_complex_IOA_meta.pkl,"[7, 17, 0.005740720593202949, 29, 10, 64, 'sigmoid']",34678.710300000006,1156.336255,7138.6875,6467.1097783905225
383,set_431650_ANN_complex_SOAnp_meta.pkl,"[7, 6, 0.3498178176850744, 28, 10, 64, 'tanh']",57320.399000000005,947.375887,10871.55078125,8837.357381184896
384,set_431650_ANN_complex_SOAp_meta.pkl,"[7, 6, 0.3498178176850744, 28, 10, 64, 'tanh']",57422.190500000004,963.220371,6769.5546875,4652.468224158654
385,set_431650_ANN_simple_IOA_meta.pkl,"[5, 18, 0.007457372652107267, 50, 10, 16, 'relu']",5012.919999999999,919.411091,3090.8984375,2462.7361464389537
386,set_431650_ANN_simple_SOAnp_meta.pkl,"[0, 27, 0.033139810244197966, 50, 10, 32, 'tanh']",4747.590000000001,886.707524,5000.0703125,4451.335597826087
387,set_431650_ANN_simple_SOAp_meta.pkl,"[0, 27, 0.033139810244197966, 50, 10, 32, 'tanh']",4693.5199999999995,886.707914,5000.0703125,4451.335597826087
388,set_431650_XGB_complex_IOA_meta.pkl,"{'learning_rate': 0.48340237692072374, 'max_depth': 4, 'subsample': 0.5904184815300133, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree'}",59863.1542,664.948875,8598.83984375,8420.892161885246
389,set_431650_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.939905996549313, 'max_depth': 6, 'subsample': 0.8118801277683277, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",55101.00750000001,1061.542528,19383.0234375,17360.374552408855
390,set_431650_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.939905996549313, 'max_depth': 6, 'subsample': 0.8118801277683277, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",55050.029599999994,1039.511139,15299.4453125,13274.066159539474
391,set_431650_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.6377900312205931, 'max_depth': 2, 'subsample': 0.5943280408450582, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",5004.659999999999,277.517256,4594.21875,4554.3515625
392,set_431650_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.23952779759451925, 'max_depth': 7, 'subsample': 0.6274059964737135, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4575.389999999999,268.844706,5749.3125,5749.22265625
393,set_431650_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.23952779759451925, 'max_depth': 7, 'subsample': 0.6274059964737135, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",4536.18,268.844463,5749.3125,5749.22265625
394,set_4480650_ANN_complex_IOA_meta.pkl,"[1, 16, 0.007428545184333724, 11, 10, 16, 'sigmoid']",43433.8032,1529.512145,7846.02734375,7418.4901171875
395,set_4480650_ANN_complex_SOAnp_meta.pkl,"[8, 24, 0.0081415803812219, 50, 10, 128, 'tanh']",61241.52019999999,1514.674537,16504.63671875,14475.669797207447
396,set_4480650_ANN_complex_SOAp_meta.pkl,"[8, 24, 0.0081415803812219, 50, 10, 128, 'tanh']",61242.298200000005,1521.600297,12415.1796875,10365.317464192709
397,set_4480650_ANN_simple_IOA_meta.pkl,"[7, 4, 0.0109485748598081, 31, 10, 128, 'relu']",5271.81,850.850667,3876.9140625,2899.779327966715
398,set_4480650_ANN_simple_SOAnp_meta.pkl,"[14, 25, 0.04813082620158134, 50, 10, 16, 'tanh']",5246.89,1227.706074,5655.07421875,4952.623602021001
399,set_4480650_ANN_simple_SOAp_meta.pkl,"[14, 25, 0.04813082620158134, 50, 10, 16, 'tanh']",5250.59,1227.706248,5655.07421875,4952.623602021001
400,set_4480650_XGB_complex_IOA_meta.pkl,"{'learning_rate': 0.48890947218724884, 'max_depth': 5, 'subsample': 0.7068835441462381, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree'}",61347.5573,1548.702058,22644.1484375,20810.852642463236
401,set_4480650_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.48191468547885125, 'max_depth': 6, 'subsample': 0.30206853788208, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",59124.03149999999,370.998278,17079.05859375,12991.35890794837
402,set_4480650_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.48191468547885125, 'max_depth': 6, 'subsample': 0.30206853788208, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",59152.47090000001,385.143529,17079.05859375,9831.459109805046
403,set_4480650_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.1997688595667578, 'max_depth': 3, 'subsample': 0.6923329977638826, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",5248.46,331.622449,8120.31640625,6732.601004464285
404,set_4480650_XGB_simple_SOAnp_meta.pkl,"{'learning_rate': 0.483257346246993, 'max_depth': 3, 'subsample': 0.6973255618315893, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",5032.12,308.529416,8283.8125,7567.769318181819
405,set_4480650_XGB_simple_SOAp_meta.pkl,"{'learning_rate': 0.483257346246993, 'max_depth': 3, 'subsample': 0.6973255618315893, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",5054.709999999999,308.522118,8283.8125,7567.769318181819
406,set_4481650_ANN_complex_IOA_meta.pkl,"[2, 28, 0.0016521395918583535, 33, 10, 16, 'tanh']",42154.07219999999,1368.483607,6415.58203125,6123.899162113539
407,set_4481650_ANN_complex_SOAnp_meta.pkl,"[13, 17, 0.127541208468402, 42, 10, 64, 'tanh']",57320.281500000005,1017.701298,11058.859375,9044.76097861842
408,set_4481650_ANN_complex_SOAp_meta.pkl,"[13, 17, 0.127541208468402, 42, 10, 64, 'tanh']",57423.8841,1030.763274,7012.328125,4914.1744275990095
409,set_4481650_ANN_simple_IOA_meta.pkl,"[7, 27, 0.0015421387749981097, 15, 10, 16, 'relu']",4938.8899999999985,1038.608667,3325.5859375,2713.578951489421
410,set_4481650_ANN_simple_SOAnp_meta.pkl,"[0, 12, 0.019482959565838273, 48, 10, 16, 'tanh']",4730.709999999999,1135.407946,4627.5234375,4293.1338211784405
411,set_4481650_ANN_simple_SOAp_meta.pkl,"[0, 12, 0.019482959565838273, 48, 10, 16, 'tanh']",4686.57,1135.40795,4627.5234375,4293.1338211784405
412,set_4481650_XGB_complex_IOA_meta.pkl,"{'learning_rate': 0.4756795066581042, 'max_depth': 4, 'subsample': 0.46291224506675077, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree'}",59735.8322,641.019221,9717.12109375,9196.080295138889
413,set_4481650_XGB_complex_SOAnp_meta.pkl,"{'learning_rate': 0.8596898488268995, 'max_depth': 8, 'subsample': 0.8011623247936559, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",53836.332700000006,1193.409846,22645.9140625,20647.410779587764
414,set_4481650_XGB_complex_SOAp_meta.pkl,"{'learning_rate': 0.8596898488268995, 'max_depth': 8, 'subsample': 0.8011623247936559, 'tree_method': 'hist', 'num_target': 6, 'multi_strategy': 'multi_output_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'}",53830.68310000001,1172.112336,20109.41015625,16580.75390625
415,set_4481650_XGB_simple_IOA_meta.pkl,"{'learning_rate': 0.3303221888846869, 'max_depth': 2, 'subsample': 0.9942524409292768, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'}",4990.25,272.020257,5351.10546875,4957.695752640845
