;file_name;hyperparameter;profit;elapsed_time;peak_memory;avg_memory;relative_profit
34;set_330650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.39403939055859405, 'max_depth': 6, 'subsample': 0.7588203154782152, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5914,96;202,18;3551,92;3551,83;0,99
47;set_4120650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4994045917087667, 'max_depth': 5, 'subsample': 0.316559397942162, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5915,01;229,35;4963,14;4958,67;0,99
35;set_330650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.39403939055859405, 'max_depth': 6, 'subsample': 0.7588203154782152, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5915,28;202,18;3551,92;3551,83;0,99
130;set_4306510_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4886763544257752, 'max_depth': 6, 'subsample': 0.4153681204974804, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5915,43;199,20;4995,82;4995,67;0,99
70;set_41920650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.47671051868289727, 'max_depth': 3, 'subsample': 0.7324470350938832, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5915,77;276,86;14046,61;11738,34;0,99
286;set_5306150_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.48779362384309244, 'max_depth': 6, 'subsample': 0.38118521163616725, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5917,81;263,95;108435,82;12183,57;0,98
299;set_5306200_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.3799733961795298, 'max_depth': 5, 'subsample': 0.4347484230675173, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5919,32;254,10;120741,99;14005,26;0,98
11;set_130650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.10638408860295201, 'max_depth': 2, 'subsample': 0.368433785966714, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5919,41;257,06;3690,92;3690,81;0,99
131;set_4306510_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4886763544257752, 'max_depth': 6, 'subsample': 0.4153681204974804, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5920,71;199,20;4995,82;4995,67;0,99
292;set_5306200_ANN_simple_SOAnp_meta.pkl;[7, 8, 0.003805875432433607, 38, 10, 16, 'sigmoid'];5920,72;5294,21;4931,31;4328,55;0,98
317;set_5306300_ANN_simple_SOAp_meta.pkl;[4, 30, 1.0976691691232085e-05, 47, 10, 64, 'relu'];5920,81;5246,24;4773,78;4194,13;0,98
10;set_130650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.10638408860295201, 'max_depth': 2, 'subsample': 0.368433785966714, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5920,93;257,06;3690,92;3690,82;0,99
71;set_41920650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.47671051868289727, 'max_depth': 3, 'subsample': 0.7324470350938832, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5922,79;276,86;14046,61;11738,34;0,99
125;set_4306510_ANN_simple_SOAp_meta.pkl;[7, 23, 0.05191109620178864, 25, 10, 16, 'sigmoid'];5928,42;1067,32;4345,86;3719,96;0,99
223;set_460650_ANN_simple_IOA_meta.pkl;[8, 8, 0.004232020126760402, 34, 10, 16, 'relu'];5928,76;1055,74;2734,96;2305,21;0,99
316;set_5306300_ANN_simple_SOAnp_meta.pkl;[4, 30, 1.0976691691232085e-05, 47, 10, 64, 'relu'];5928,98;5246,24;4773,78;4194,13;0,98
124;set_4306510_ANN_simple_SOAnp_meta.pkl;[7, 23, 0.05191109620178864, 25, 10, 16, 'sigmoid'];5929,08;1067,32;4345,86;3719,96;0,99
280;set_5306150_ANN_simple_SOAnp_meta.pkl;[9, 21, 0.07961373490327166, 37, 10, 16, 'tanh'];5930,46;4157,55;4867,94;4207,05;0,98
225;set_460650_ANN_simple_SOAp_meta.pkl;[0, 12, 0.0888270951505025, 45, 10, 16, 'tanh'];5930,55;1250,50;4368,15;3859,38;0,99
33;set_330650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.3578888339455195, 'max_depth': 3, 'subsample': 0.35212155088575453, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5930,63;216,95;3559,01;3555,31;0,99
94;set_4240650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.26880310910560434, 'max_depth': 4, 'subsample': 0.3353561895837505, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5931,61;233,93;5457,50;5429,05;0,99
15;set_230650_ANN_simple_IOA_meta.pkl;[6, 7, 0.012799200568478322, 40, 10, 16, 'relu'];5932,01;310,47;2297,93;1704,25;0,99
224;set_460650_ANN_simple_SOAnp_meta.pkl;[0, 12, 0.0888270951505025, 45, 10, 16, 'tanh'];5932,29;1250,50;4368,15;3859,38;0,99
327;set_530650_ANN_simple_IOA_meta.pkl;[8, 26, 0.0706799963907796, 23, 10, 128, 'relu'];5932,48;4639,54;3127,46;2521,11;0,99
28;set_330650_ANN_simple_SOAnp_meta.pkl;[4, 21, 0.07215534990930861, 10, 10, 16, 'relu'];5932,58;434,78;3822,95;3439,33;0,99
21;set_230650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.17945906932162425, 'max_depth': 3, 'subsample': 0.6462623983622692, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5932,64;234,82;3566,98;3563,53;0,99
250;set_4960650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.3351176382335591, 'max_depth': 4, 'subsample': 0.30665966316166915, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5932,97;306,44;8663,62;8227,05;0,99
281;set_5306150_ANN_simple_SOAp_meta.pkl;[9, 21, 0.07961373490327166, 37, 10, 16, 'tanh'];5934,15;4157,55;4867,94;4207,05;0,98
29;set_330650_ANN_simple_SOAp_meta.pkl;[4, 21, 0.07215534990930861, 10, 10, 16, 'relu'];5934,79;434,78;3822,95;3439,28;0,99
251;set_4960650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.3351176382335591, 'max_depth': 4, 'subsample': 0.30665966316166915, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5935,05;306,44;8663,62;8227,05;0,99
274;set_5306100_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.3140551315539813, 'max_depth': 4, 'subsample': 0.743690108285745, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5935,66;234,32;107972,32;11103,74;0,98
95;set_4240650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.26880310910560434, 'max_depth': 4, 'subsample': 0.3353561895837505, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5936,23;233,93;5457,50;5429,05;0,99
129;set_4306510_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.3337963230564127, 'max_depth': 2, 'subsample': 0.6859472795978556, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5937,96;209,03;3750,75;3740,51;0,99
269;set_5306100_ANN_simple_SOAp_meta.pkl;[1, 8, 0.00021316501471039812, 44, 10, 16, 'sigmoid'];5938,21;6703,53;4397,73;3892,73;0,98
275;set_5306100_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.3140551315539813, 'max_depth': 4, 'subsample': 0.743690108285745, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5938,78;234,32;107972,32;11103,74;0,98
227;set_460650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.4622572663311446, 'max_depth': 2, 'subsample': 0.8981836926997044, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5939,59;265,74;3962,01;3951,51;0,99
63;set_41920650_ANN_simple_IOA_meta.pkl;[5, 15, 0.04865368235558208, 46, 10, 16, 'relu'];5940,82;960,57;5161,98;4103,61;0,99
245;set_4960650_ANN_simple_IOA_meta.pkl;[10, 24, 0.00616596373297927, 35, 10, 16, 'relu'];5942,49;963,16;4092,04;3361,60;0,99
64;set_41920650_ANN_simple_SOAnp_meta.pkl;[5, 27, 0.04051806226038428, 23, 10, 16, 'tanh'];5943,30;973,51;7429,34;6373,49;0,99
40;set_4120650_ANN_simple_SOAnp_meta.pkl;[3, 23, 0.0027177347519491708, 40, 10, 32, 'sigmoid'];5943,30;980,66;4261,79;3813,78;0,99
88;set_4240650_ANN_simple_SOAnp_meta.pkl;[9, 21, 0.030781759644047668, 35, 10, 64, 'tanh'];5943,30;948,15;4111,48;3636,76;0,99
246;set_4960650_ANN_simple_SOAnp_meta.pkl;[5, 24, 0.03843292796286219, 21, 10, 64, 'sigmoid'];5943,30;978,81;6138,61;5289,48;0,99
200;set_4480650_ANN_simple_SOAnp_meta.pkl;[3, 15, 0.007261878547348403, 27, 10, 32, 'sigmoid'];5943,30;891,80;4729,05;4094,86;0,99
27;set_330650_ANN_simple_IOA_meta.pkl;[1, 24, 0.03810483185053668, 30, 10, 16, 'relu'];5943,53;300,58;2165,38;1776,05;0,99
268;set_5306100_ANN_simple_SOAnp_meta.pkl;[1, 8, 0.00021316501471039812, 44, 10, 16, 'sigmoid'];5944,05;6703,53;4397,73;3892,73;0,99
335;set_530650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.3963413591834624, 'max_depth': 2, 'subsample': 0.5029529204589438, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5944,30;219,23;117131,46;14555,04;0,99
328;set_530650_ANN_simple_SOAnp_meta.pkl;[1, 13, 0.0001702992868781233, 46, 10, 32, 'sigmoid'];5945,94;6262,47;4234,97;3942,40;0,99
93;set_4240650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.4749085993271319, 'max_depth': 2, 'subsample': 0.7316609901819262, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5946,62;224,11;4377,05;4279,22;0,99
123;set_4306510_ANN_simple_IOA_meta.pkl;[10, 15, 0.0007867398171123622, 35, 10, 16, 'relu'];5946,76;966,68;2478,30;2037,82;0,99
113;set_430650_ANN_simple_SOAp_meta.pkl;[5, 16, 0.0004582712197587706, 10, 10, 32, 'relu'];5947,53;945,70;3690,64;3505,81;0,99
65;set_41920650_ANN_simple_SOAp_meta.pkl;[5, 27, 0.04051806226038428, 23, 10, 16, 'tanh'];5948,01;973,51;7429,34;6373,45;0,99
41;set_4120650_ANN_simple_SOAp_meta.pkl;[3, 23, 0.0027177347519491708, 40, 10, 32, 'sigmoid'];5948,09;980,66;4261,79;3813,78;0,99
201;set_4480650_ANN_simple_SOAp_meta.pkl;[3, 15, 0.007261878547348403, 27, 10, 32, 'sigmoid'];5948,09;891,80;4729,05;4094,86;0,99
329;set_530650_ANN_simple_SOAp_meta.pkl;[1, 13, 0.0001702992868781233, 46, 10, 32, 'sigmoid'];5948,10;6262,47;4234,97;3942,40;0,99
247;set_4960650_ANN_simple_SOAp_meta.pkl;[5, 24, 0.03843292796286219, 21, 10, 64, 'sigmoid'];5948,11;978,81;6138,61;5289,42;0,99
89;set_4240650_ANN_simple_SOAp_meta.pkl;[9, 21, 0.030781759644047668, 35, 10, 64, 'tanh'];5948,12;948,16;4111,48;3636,76;0,99
112;set_430650_ANN_simple_SOAnp_meta.pkl;[5, 16, 0.0004582712197587706, 10, 10, 32, 'relu'];5948,64;945,70;3690,64;3505,81;0,99
87;set_4240650_ANN_simple_IOA_meta.pkl;[2, 11, 0.03856723839061168, 36, 10, 16, 'sigmoid'];5949,29;833,92;2748,19;2305,71;1,00
199;set_4480650_ANN_simple_IOA_meta.pkl;[4, 26, 0.06481600130133017, 41, 10, 16, 'relu'];5949,47;848,14;3146,13;2548,83;1,00
69;set_41920650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.4920372592786084, 'max_depth': 2, 'subsample': 0.6437837586472623, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5950,09;290,19;14008,94;11500,82;1,00
118;set_430650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.3357295976473273, 'max_depth': 3, 'subsample': 0.3029212169823735, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5951,82;176,58;4557,06;4544,49;1,00
334;set_530650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.3963413591834624, 'max_depth': 2, 'subsample': 0.5029529204589438, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5952,20;219,23;117131,46;14555,04;1,00
205;set_4480650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.1884716708589667, 'max_depth': 3, 'subsample': 0.7646979431809432, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5952,32;238,57;5505,08;5319,59;1,00
45;set_4120650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.42189062231560565, 'max_depth': 2, 'subsample': 0.8925335214479546, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5953,48;251,47;4090,37;4048,51;1,00
119;set_430650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.3357295976473273, 'max_depth': 3, 'subsample': 0.3029212169823735, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5953,50;176,58;4557,06;4544,49;1,00
16;set_230650_ANN_simple_SOAnp_meta.pkl;[9, 23, 0.07209531233566215, 29, 10, 16, 'relu'];5953,62;415,25;3853,28;3546,87;1,00
39;set_4120650_ANN_simple_IOA_meta.pkl;[9, 8, 0.004268831407641076, 29, 10, 16, 'relu'];5954,26;951,75;2767,00;2342,95;1,00
249;set_4960650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.45760106356951114, 'max_depth': 2, 'subsample': 0.7249084549674638, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5954,81;329,26;8472,24;7444,43;1,00
333;set_530650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.43170300889157137, 'max_depth': 2, 'subsample': 0.5558207456660162, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5956,66;242,54;4201,59;4140,89;1,00
17;set_230650_ANN_simple_SOAp_meta.pkl;[9, 23, 0.07209531233566215, 29, 10, 16, 'relu'];5957,88;415,27;3853,28;3546,80;1,00
321;set_5306300_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.3989870543206734, 'max_depth': 2, 'subsample': 0.5103065347810528, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5960,34;251,22;4550,10;4522,97;0,98
117;set_430650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.3091650040278182, 'max_depth': 2, 'subsample': 0.3767755645259241, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5962,37;232,24;3752,16;3739,73;1,00
297;set_5306200_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.357151174535868, 'max_depth': 3, 'subsample': 0.736929093320782, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5966,04;262,58;4757,23;4708,02;0,99
291;set_5306200_ANN_simple_IOA_meta.pkl;[9, 16, 0.0043201883932749855, 25, 10, 64, 'relu'];5966,39;5086,28;3265,93;2668,07;0,99
285;set_5306150_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.15848330761298413, 'max_depth': 4, 'subsample': 0.5948563141131367, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5967,41;274,24;4649,39;4570,87;0,99
315;set_5306300_ANN_simple_IOA_meta.pkl;[9, 23, 0.0009464782836121204, 38, 10, 64, 'relu'];5969,55;5686,90;3039,96;2528,83;0,99
279;set_5306150_ANN_simple_IOA_meta.pkl;[3, 18, 0.0007588399794599414, 24, 10, 32, 'relu'];5972,03;5625,71;3003,52;2564,38;0,99
111;set_430650_ANN_simple_IOA_meta.pkl;[7, 6, 0.0043363948736633426, 48, 10, 32, 'relu'];5972,12;910,94;2845,05;2229,53;1,00
267;set_5306100_ANN_simple_IOA_meta.pkl;[6, 14, 0.008297680637691672, 28, 10, 128, 'relu'];5972,85;4553,22;2812,14;2318,24;0,99
273;set_5306100_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.19678205919208747, 'max_depth': 3, 'subsample': 0.6964379226944515, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5975,81;264,52;4100,57;4077,80;0,99
